pathway,Biodomain
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_PROSTANOID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,Lipid Metabolism
GOBP_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS,unknown
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,Mitochondrial Metabolism
GOBP_GOLGI_VESICLE_TRANSPORT,Proteostasis
GOBP_GOLGI_VESICLE_BUDDING,Proteostasis
GOBP_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI,Proteostasis
GOBP_VESICLE_TARGETING_ROUGH_ER_TO_CIS_GOLGI,Proteostasis
GOBP_GOLGI_VESICLE_FUSION_TO_TARGET_MEMBRANE,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,Endolysosome
GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS,Proteostasis
GOBP_HEMATOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT,Immune Response
GOBP_PIGMENT_GRANULE_MATURATION,unknown
GOBP_OTOLITH_DEVELOPMENT,unknown
GOBP_FOREBRAIN_MORPHOGENESIS,unknown
GOBP_FORMATION_OF_ANATOMICAL_BOUNDARY,unknown
GOBP_AMYLOID_BETA_METABOLIC_PROCESS,APP Metabolism
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,Immune Response
GOBP_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS,Immune Response
GOBP_PROTEIN_STABILIZATION,Proteostasis
GOBP_WHITE_FAT_CELL_DIFFERENTIATION,Lipid Metabolism
GOBP_LEUKOCYTE_TETHERING_OR_ROLLING,Immune Response
GOBP_MICROTUBULE_SEVERING,Structural Stabilization
GOBP_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,unknown
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,unknown
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING,Proteostasis
GOBP_HEPOXILIN_METABOLIC_PROCESS,Lipid Metabolism
GOBP_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION,Structural Stabilization
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,Proteostasis
GOBP_NK_T_CELL_ACTIVATION,Immune Response
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE,Proteostasis
GOBP_MAINTENANCE_OF_LOCATION,unknown
GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY,Oxidative Stress
GOBP_KINETOCHORE_ASSEMBLY,Cell Cycle
GOBP_KINETOCHORE_ORGANIZATION,unknown
GOBP_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY,Synapse
GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Synapse
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_CALCIUM_ION_CONCENTRATION,Mitochondrial Metabolism
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION,Epigenetic
GOBP_RESPONSE_TO_CAMP,unknown
GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_NOREPINEPHRINE_UPTAKE,Synapse
GOBP_MAINTENANCE_OF_LOCATION_IN_CELL,unknown
GOBP_MAINTENANCE_OF_CENTROSOME_LOCATION,unknown
GOBP_PROTEIN_DELIPIDATION,Lipid Metabolism
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT,unknown
GOBP_RESPONSE_TO_MISFOLDED_PROTEIN,Proteostasis
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS,unknown
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING,unknown
GOBP_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION,unknown
GOBP_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION,Synapse
GOBP_GLUTAMATE_REUPTAKE,Synapse
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,Epigenetic
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,Cell Cycle
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION,unknown
GOBP_SODIUM_ION_HOMEOSTASIS,Metal Binding and Homeostasis
GOBP_SERTOLI_CELL_PROLIFERATION,unknown
GOBP_BERGMANN_GLIAL_CELL_DIFFERENTIATION,unknown
GOBP_CONVERGENT_EXTENSION,unknown
GOBP_CONVERGENT_EXTENSION_INVOLVED_IN_GASTRULATION,unknown
GOBP_CONVERGENT_EXTENSION_INVOLVED_IN_ORGANOGENESIS,unknown
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,unknown
GOBP_REGULATION_OF_GLIAL_CELL_PROLIFERATION,Immune Response
GOBP_REGULATION_OF_RESPIRATORY_BURST,Immune Response
GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,Vasculature
GOBP_BRONCHUS_DEVELOPMENT,unknown
GOBP_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,Vasculature
GOBP_REGULATION_OF_CHROMOSOME_CONDENSATION,Cell Cycle
GOBP_PLACENTA_BLOOD_VESSEL_DEVELOPMENT,Vasculature
GOBP_BRANCH_ELONGATION_INVOLVED_IN_URETERIC_BUD_BRANCHING,unknown
GOBP_LABYRINTHINE_LAYER_BLOOD_VESSEL_DEVELOPMENT,Vasculature
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_DIFFERENTIATION,Vasculature
GOBP_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION,Vasculature
GOBP_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER,Vasculature
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,Proteostasis
GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY,unknown
GOBP_NOTCH_SIGNALING_INVOLVED_IN_HEART_DEVELOPMENT,unknown
GOBP_CHAPERONE_MEDIATED_AUTOPHAGY,Autophagy
GOBP_SELECTIVE_AUTOPHAGY,Autophagy
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM,Autophagy
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS,Cell Cycle
GOBP_INTRACELLULAR_PROTEIN_TRANSMEMBRANE_TRANSPORT,Proteostasis
GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE,Cell Cycle
GOBP_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE,unknown
GOBP_LENS_FIBER_CELL_DIFFERENTIATION,unknown
GOBP_HISTONE_H2A_K63_LINKED_DEUBIQUITINATION,Epigenetic
GOBP_POSITIVE_REGULATION_OF_VITAMIN_D_RECEPTOR_SIGNALING_PATHWAY,unknown
GOBP_RESPONSE_TO_INTERLEUKIN_2,Immune Response
GOBP_PHOSPHORYLATION_OF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN,Epigenetic
GOBP_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,Proteostasis
GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,Proteostasis
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Proteostasis
GOBP_DNA_CONFORMATION_CHANGE,Epigenetic
GOBP_RESOLUTION_OF_RECOMBINATION_INTERMEDIATES,Cell Cycle
GOBP_RIBONUCLEOPROTEIN_COMPLEX_LOCALIZATION,Proteostasis
GOBP_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS,unknown
GOBP_CELLULAR_RESPONSE_TO_LITHIUM_ION,unknown
GOBP_CELLULAR_RESPONSE_TO_CGMP,unknown
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,Lipid Metabolism
GOBP_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS,Lipid Metabolism
GOBP_CELLULAR_RESPONSE_TO_TESTOSTERONE_STIMULUS,Lipid Metabolism
GOBP_REGULATION_OF_HISTONE_H3_K14_ACETYLATION,Epigenetic
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION,Epigenetic
GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH,unknown
GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION,Lipid Metabolism
GOBP_ECTODERMAL_PLACODE_DEVELOPMENT,unknown
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT,Proteostasis
GOBP_TAIL_ANCHORED_MEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,unknown
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE,Proteostasis
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Proteostasis
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_MITOCHONDRION,Mitochondrial Metabolism
GOBP_T_CELL_EXTRAVASATION,Immune Response
GOBP_PROTEIN_K6_LINKED_UBIQUITINATION,Proteostasis
GOBP_ENDOTHELIN_RECEPTOR_SIGNALING_PATHWAY,Immune Response
GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION,Proteostasis
GOBP_COPII_COATED_VESICLE_BUDDING,Proteostasis
GOBP_C_5_METHYLATION_OF_CYTOSINE,Epigenetic
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY,Structural Stabilization
GOBP_ESTABLISHMENT_OF_PLANAR_POLARITY_INVOLVED_IN_NEURAL_TUBE_CLOSURE,unknown
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_REGULATION_OF_METAPHASE_PLATE_CONGRESSION,Cell Cycle
GOBP_POSITIVE_REGULATION_OF_HISTONE_H4_ACETYLATION,Epigenetic
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H4_ACETYLATION,Epigenetic
GOBP_POSITIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY,unknown
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_IMPORT,Metal Binding and Homeostasis
GOBP_REGULATION_OF_OSTEOCLAST_PROLIFERATION,Immune Response
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Proteostasis
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION,Cell Cycle
GOBP_STRESS_INDUCED_PREMATURE_SENESCENCE,unknown
GOBP_INTRACELLULAR_GLUTAMATE_HOMEOSTASIS,unknown
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY,Lipid Metabolism
GOBP_TELOMERIC_LOOP_DISASSEMBLY,unknown
GOBP_ENDOTHELIAL_CELL_MATRIX_ADHESION,Structural Stabilization
GOBP_RESPONSE_TO_THYROID_HORMONE,unknown
GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS,unknown
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DEVELOPMENT,Vasculature
GOBP_EPOXIDE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS,Epigenetic
GOBP_RENAL_TUBULAR_SECRETION,unknown
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION,Mitochondrial Metabolism
GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,Immune Response
GOBP_RESPONSE_TO_INTERLEUKIN_7,Immune Response
GOBP_RESPONSE_TO_MITOCHONDRIAL_DEPOLARISATION,Mitochondrial Metabolism
GOBP_REGULATION_OF_RENAL_SYSTEM_PROCESS,Vasculature
GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS,Endolysosome
GOBP_REGULATION_OF_PRESYNAPTIC_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Synapse
GOBP_PROTEIN_LOCALIZATION_TO_AXON,Synapse
GOBP_NEGATIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,unknown
GOBP_NEGATIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,unknown
GOBP_DENDRITE_ARBORIZATION,Synapse
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,unknown
GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS,APP Metabolism
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,Immune Response
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,unknown
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,Proteostasis
GOBP_REGULATION_OF_RECEPTOR_BINDING,unknown
GOBP_REGULATION_OF_PHENOTYPIC_SWITCHING,unknown
GOBP_REGULATION_OF_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY,Cell Cycle
GOBP_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_NEGATIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING,Apoptosis
GOBP_SUCCINYL_COA_CATABOLIC_PROCESS,Mitochondrial Metabolism
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS,unknown
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,Epigenetic
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT,Cell Cycle
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT,Cell Cycle
GOBP_TOXIN_TRANSPORT,unknown
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,Apoptosis
GOBP_CELL_CYCLE_DNA_REPLICATION_INITIATION,Cell Cycle
GOBP_REGULATION_OF_MRNA_BINDING,unknown
GOBP_REGULATION_OF_PROTEIN_AUTOUBIQUITINATION,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,unknown
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS,Vasculature
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_PROGRAMMED_CELL_DEATH,Apoptosis
GOBP_NEGATIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION,unknown
GOBP_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,Cell Cycle
GOBP_REGULATION_OF_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,Mitochondrial Metabolism
GOBP_MITOTIC_DNA_REPLICATION,Cell Cycle
GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEUBIQUITINATION,Proteostasis
GOBP_ORGANELLE_DISASSEMBLY,unknown
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_POSITIVE_REGULATION_OF_ER_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteostasis
GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME,Cell Cycle
GOBP_REGULATION_OF_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS,Lipid Metabolism
GOBP_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE,unknown
GOBP_REGULATION_OF_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,unknown
GOBP_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis
GOBP_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_EIF2_ALPHA_PHOSPHORYLATION,Proteostasis
GOBP_REGULATION_OF_DNA_PRIMASE_ACTIVITY,Cell Cycle
GOBP_REGULATION_OF_HEPATOCYTE_APOPTOTIC_PROCESS,Apoptosis
GOBP_REGULATION_OF_RETROGRADE_PROTEIN_TRANSPORT_ER_TO_CYTOSOL,Proteostasis
GOBP_REGULATION_OF_ERAD_PATHWAY,Proteostasis
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,unknown
GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,unknown
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,Immune Response
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MATRIX_ADHESION_VIA_FIBRONECTIN,Vasculature
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION,Mitochondrial Metabolism
GOBP_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,Metal Binding and Homeostasis
GOBP_NEGATIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,Metal Binding and Homeostasis
GOBP_POSITIVE_REGULATION_OF_RNA_BINDING,Epigenetic
GOBP_POSITIVE_REGULATION_OF_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY,unknown
GOBP_REGULATION_OF_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II,RNA Spliceosome
GOBP_REGULATION_OF_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION,Immune Response
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY,unknown
GOBP_POSITIVE_REGULATION_OF_MEMBRANE_PERMEABILITY,Lipid Metabolism
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_CONDENSATION,Cell Cycle
GOBP_REGULATION_OF_3_UTR_MEDIATED_MRNA_STABILIZATION,unknown
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Proteostasis
GOBP_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,APP Metabolism
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_HYPOXIA,Apoptosis
GOBP_EMBRYONIC_BRAIN_DEVELOPMENT,unknown
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT,Mitochondrial Metabolism
GOBP_PROTEIN_POLYUFMYLATION,unknown
GOBP_PRESYNAPTIC_ACTIVE_ZONE_ORGANIZATION,Synapse
GOBP_DORSAL_ROOT_GANGLION_DEVELOPMENT,unknown
GOBP_DOUBLE_STRAND_BREAK_REPAIR_INVOLVED_IN_MEIOTIC_RECOMBINATION,Cell Cycle
GOBP_REGULATION_OF_DNA_DAMAGE_CHECKPOINT,Cell Cycle
GOBP_NEGATIVE_REGULATION_OF_DNA_DAMAGE_CHECKPOINT,Cell Cycle
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION,Cell Cycle
GOBP_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION,Structural Stabilization
GOBP_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION,Structural Stabilization
GOBP_POSITIVE_REGULATION_OF_MYOBLAST_PROLIFERATION,unknown
GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION,unknown
GOBP_REGULATION_OF_RHO_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,unknown
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MIGRATION,Immune Response
GOBP_REGULATION_OF_APOPTOTIC_CELL_CLEARANCE,Apoptosis
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_CELL_CLEARANCE,Apoptosis
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_STARCH_SYNTHASE_ACTIVITY,unknown
GOBP_REGULATION_OF_T_CELL_COSTIMULATION,Immune Response
GOBP_NEGATIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS,unknown
GOBP_REGULATION_OF_SREBP_SIGNALING_PATHWAY,unknown
GOBP_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT,Endolysosome
GOBP_POSITIVE_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT,Endolysosome
GOBP_POSITIVE_REGULATION_OF_ANDROGEN_RECEPTOR_ACTIVITY,unknown
GOBP_REGULATION_OF_FOREBRAIN_NEURON_DIFFERENTIATION,unknown
GOBP_NEGATIVE_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS,Mitochondrial Metabolism
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,Immune Response
GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,Immune Response
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,Immune Response
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis
GOBP_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX,Proteostasis
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN,Mitochondrial Metabolism
GOCC_NUCLEAR_CHROMOSOME,unknown
GOCC_PROTEASOME_COMPLEX,Proteostasis
GOCC_CONDENSED_CHROMOSOME,unknown
GOCC_CONDENSED_NUCLEAR_CHROMOSOME,unknown
GOCC_CONDENSIN_COMPLEX,unknown
GOCC_LATERAL_ELEMENT,unknown
GOCC_OUTER_KINETOCHORE,unknown
GOCC_PRP19_COMPLEX,unknown
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR,Mitochondrial Metabolism
GOCC_PHAGOCYTIC_CUP,Autophagy
GOCC_INTERSTITIAL_MATRIX,Structural Stabilization
GOCC_REPLICATION_FORK,unknown
GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX,unknown
GOCC_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX,Mitochondrial Metabolism
GOCC_LATE_ENDOSOME,Endolysosome
GOCC_MULTIVESICULAR_BODY,Endolysosome
GOCC_SEC61_TRANSLOCON_COMPLEX,unknown
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM,unknown
GOCC_ROUGH_ENDOPLASMIC_RETICULUM,Structural Stabilization
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT,Proteostasis
GOCC_GOLGI_ASSOCIATED_VESICLE,Proteostasis
GOCC_PROTEASOME_CORE_COMPLEX,Proteostasis
GOCC_KINESIN_COMPLEX,unknown
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX,unknown
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX,unknown
GOCC_KATANIN_COMPLEX,unknown
GOCC_PROTEASOME_REGULATORY_PARTICLE_LID_SUBCOMPLEX,Proteostasis
GOCC_SARCOPLASM,unknown
GOCC_SARCOPLASMIC_RETICULUM,unknown
GOCC_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEIN_COMPLEX,unknown
GOCC_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX,unknown
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,Proteostasis
GOCC_VESICLE_COAT,unknown
GOCC_COATED_VESICLE,unknown
GOCC_COPI_COATED_VESICLE,Proteostasis
GOCC_ENDOCYTIC_VESICLE,Endolysosome
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE,Proteostasis
GOCC_COATED_VESICLE_MEMBRANE,Endolysosome
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE,Endolysosome
GOCC_PRERIBOSOME,unknown
GOCC_ROUGH_ENDOPLASMIC_RETICULUM_MEMBRANE,Structural Stabilization
GOCC_DNA_REPLICATION_PREINITIATION_COMPLEX,Cell Cycle
GOCC_BOX_H_ACA_SNORNP_COMPLEX,unknown
GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX,Proteostasis
GOCC_LATE_ENDOSOME_MEMBRANE,Endolysosome
GOCC_SMALL_SUBUNIT_PROCESSOME,unknown
GOCC_STEREOCILIUM_TIP,unknown
GOCC_CORTICAL_ENDOPLASMIC_RETICULUM,unknown
