ONTOLOGY,ID,pathway,Biodomain
BP,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,Apoptosis
BP,GO:0032465,regulation of cytokinesis,Cell Cycle
BP,GO:0034968,histone lysine methylation,Epigenetic
BP,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,Immune Response
BP,GO:0010934,macrophage cytokine production,Immune Response
BP,GO:0090520,sphingolipid mediated signaling pathway,Lipid Metabolism
BP,GO:0003176,aortic valve development,none
BP,GO:0010592,positive regulation of lamellipodium assembly,none
MF,GO:0001671,ATPase activator activity,none
MF,GO:0003823,antigen binding,none
BP,GO:0007219,Notch signaling pathway,none
MF,GO:0008013,beta-catenin binding,none
BP,GO:0009112,nucleobase metabolic process,none
BP,GO:0019321,pentose metabolic process,none
BP,GO:0032104,regulation of response to extracellular stimulus,none
BP,GO:0032107,regulation of response to nutrient levels,none
BP,GO:0045682,regulation of epidermis development,none
BP,GO:0045744,negative regulation of G protein-coupled receptor signaling pathway,none
BP,GO:0050792,regulation of viral process,none
BP,GO:0050795,regulation of behavior,none
BP,GO:0050820,positive regulation of coagulation,none
BP,GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,none
BP,GO:0051154,negative regulation of striated muscle cell differentiation,none
MF,GO:0052744,phosphatidylinositol monophosphate phosphatase activity,none
MF,GO:0070181,small ribosomal subunit rRNA binding,none
BP,GO:0090277,positive regulation of peptide hormone secretion,none
BP,GO:0097064,ncRNA export from nucleus,none
BP,GO:0098751,bone cell development,none
BP,GO:1902893,regulation of pri-miRNA transcription by RNA polymerase II,none
CC,GO:0043198,dendritic shaft,Synapse
BP,GO:0086091,regulation of heart rate by cardiac conduction,Vasculature
BP,GO:0060402,calcium ion transport into cytosol,none
BP,GO:0006268,DNA unwinding involved in DNA replication,Cell Cycle
BP,GO:0002418,immune response to tumor cell,Immune Response
BP,GO:0002704,negative regulation of leukocyte mediated immunity,Immune Response
BP,GO:0002718,regulation of cytokine production involved in immune response,Immune Response
BP,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,Immune Response
MF,GO:0005504,fatty acid binding,Lipid Metabolism
BP,GO:0046471,phosphatidylglycerol metabolic process,Lipid Metabolism
BP,GO:0006739,NADP metabolic process,none
BP,GO:0007616,long-term memory,none
BP,GO:0010518,positive regulation of phospholipase activity,none
BP,GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway,none
MF,GO:0030414,peptidase inhibitor activity,none
CC,GO:0031080,nuclear pore outer ring,none
BP,GO:0031342,negative regulation of cell killing,none
BP,GO:0033363,secretory granule organization,none
BP,GO:0043588,skin development,none
BP,GO:0044070,regulation of anion transport,none
BP,GO:0072006,nephron development,none
BP,GO:1904659,glucose transmembrane transport,none
BP,GO:1905521,regulation of macrophage migration,none
CC,GO:0071004,U2-type prespliceosome,RNA Spliceosome
CC,GO:0071010,prespliceosome,RNA Spliceosome
BP,GO:0072697,protein localization to cell cortex,Structural Stabilization
BP,GO:0051124,synaptic growth at neuromuscular junction,Synapse
BP,GO:0060840,artery development,Vasculature
CC,GO:0030120,vesicle coat,Endolysosome
MF,GO:0038024,cargo receptor activity,Endolysosome
BP,GO:0032606,type I interferon production,Immune Response
BP,GO:0010884,positive regulation of lipid storage,Lipid Metabolism
BP,GO:0001707,mesoderm formation,none
BP,GO:0003002,regionalization,none
BP,GO:0017038,protein import,none
CC,GO:0031527,filopodium membrane,none
BP,GO:0032095,regulation of response to food,none
BP,GO:0042762,regulation of sulfur metabolic process,none
CC,GO:0042827,platelet dense granule,none
BP,GO:0045619,regulation of lymphocyte differentiation,none
MF,GO:0046982,protein heterodimerization activity,none
BP,GO:0048562,embryonic organ morphogenesis,none
BP,GO:0050709,negative regulation of protein secretion,none
BP,GO:0061311,cell surface receptor signaling pathway involved in heart development,none
BP,GO:0072577,endothelial cell apoptotic process,none
BP,GO:1901017,negative regulation of potassium ion transmembrane transporter activity,none
BP,GO:1902475,L-alpha-amino acid transmembrane transport,none
BP,GO:0021955,central nervous system neuron axonogenesis,Synapse
BP,GO:0002027,regulation of heart rate,Vasculature
BP,GO:0035329,hippo signaling,none
BP,GO:0060538,skeletal muscle organ development,none
BP,GO:0060561,apoptotic process involved in morphogenesis,Apoptosis
CC,GO:0030670,phagocytic vesicle membrane,Autophagy
BP,GO:0045022,early endosome to late endosome transport,Endolysosome
BP,GO:0002711,positive regulation of T cell mediated immunity,Immune Response
MF,GO:0030169,low-density lipoprotein particle binding,Lipid Metabolism
MF,GO:0046624,sphingolipid transporter activity,Lipid Metabolism
BP,GO:0010827,regulation of glucose transmembrane transport,none
BP,GO:0010885,regulation of cholesterol storage,none
MF,GO:0016209,antioxidant activity,none
BP,GO:0021766,hippocampus development,none
BP,GO:0050918,positive chemotaxis,none
BP,GO:0051348,negative regulation of transferase activity,none
BP,GO:0070304,positive regulation of stress-activated protein kinase signaling cascade,none
BP,GO:0072311,glomerular epithelial cell differentiation,none
BP,GO:1905153,regulation of membrane invagination,none
MF,GO:0017075,syntaxin-1 binding,Synapse
MF,GO:0019905,syntaxin binding,Synapse
BP,GO:0071679,commissural neuron axon guidance,Synapse
BP,GO:0031629,synaptic vesicle fusion to presynaptic active zone membrane,Synapse
CC,GO:0032009,early phagosome,Autophagy
BP,GO:0032653,regulation of interleukin-10 production,Immune Response
BP,GO:0034340,response to type I interferon,Immune Response
BP,GO:0002068,glandular epithelial cell development,none
BP,GO:0014912,negative regulation of smooth muscle cell migration,none
CC,GO:0031093,platelet alpha granule lumen,none
BP,GO:0031124,mRNA 3'-end processing,none
BP,GO:0045851,pH reduction,none
BP,GO:0061045,negative regulation of wound healing,none
BP,GO:0071233,cellular response to leucine,none
BP,GO:0098840,protein transport along microtubule,none
BP,GO:0099118,microtubule-based protein transport,none
BP,GO:1901380,negative regulation of potassium ion transmembrane transport,none
BP,GO:0014046,dopamine secretion,Synapse
BP,GO:0014059,regulation of dopamine secretion,Synapse
CC,GO:0098945,intrinsic component of presynaptic active zone membrane,Synapse
BP,GO:0033688,regulation of osteoblast proliferation,none
BP,GO:1903203,regulation of oxidative stress-induced neuron death,Apoptosis
BP,GO:0009126,purine nucleoside monophosphate metabolic process,Cell Cycle
BP,GO:0007041,lysosomal transport,Endolysosome
BP,GO:0032418,lysosome localization,Endolysosome
BP,GO:0048278,vesicle docking,Endolysosome
BP,GO:0070664,negative regulation of leukocyte proliferation,Immune Response
BP,GO:1902106,negative regulation of leukocyte differentiation,Immune Response
MF,GO:0080025,"phosphatidylinositol-3,5-bisphosphate binding",Lipid Metabolism
BP,GO:0001967,suckling behavior,none
MF,GO:0016878,acid-thiol ligase activity,none
CC,GO:0031300,intrinsic component of organelle membrane,none
MF,GO:0039706,co-receptor binding,none
BP,GO:0042246,tissue regeneration,none
BP,GO:0060046,regulation of acrosome reaction,none
BP,GO:0060688,regulation of morphogenesis of a branching structure,none
BP,GO:0061383,trabecula morphogenesis,none
BP,GO:0070534,protein K63-linked ubiquitination,none
MF,GO:0071933,Arp2/3 complex binding,none
CC,GO:0099522,region of cytosol,none
BP,GO:1901019,regulation of calcium ion transmembrane transporter activity,none
BP,GO:1903203,regulation of oxidative stress-induced neuron death,Oxidative Stress
BP,GO:0033120,positive regulation of RNA splicing,RNA Spliceosome
CC,GO:0005868,cytoplasmic dynein complex,Structural Stabilization
BP,GO:1900024,regulation of substrate adhesion-dependent cell spreading,Structural Stabilization
BP,GO:0042311,vasodilation,Vasculature
BP,GO:1901343,negative regulation of vasculature development,Vasculature
BP,GO:0048333,mesodermal cell differentiation,none
BP,GO:0045063,T-helper 1 cell differentiation,Immune Response
BP,GO:2000106,regulation of leukocyte apoptotic process,Immune Response
BP,GO:0003306,Wnt signaling pathway involved in heart development,none
BP,GO:0010522,regulation of calcium ion transport into cytosol,none
BP,GO:0010923,negative regulation of phosphatase activity,none
MF,GO:0016829,lyase activity,none
BP,GO:0019748,secondary metabolic process,none
BP,GO:0021544,subpallium development,none
BP,GO:0030901,midbrain development,none
BP,GO:0045137,development of primary sexual characteristics,none
BP,GO:0098869,cellular oxidant detoxification,none
MF,GO:0045182,translation regulator activity,Proteostasis
BP,GO:0051497,negative regulation of stress fiber assembly,Structural Stabilization
BP,GO:0099188,postsynaptic cytoskeleton organization,Synapse
BP,GO:0045822,negative regulation of heart contraction,Vasculature
BP,GO:1903779,regulation of cardiac conduction,Vasculature
BP,GO:0006164,purine nucleotide biosynthetic process,Cell Cycle
BP,GO:0002706,regulation of lymphocyte mediated immunity,Immune Response
BP,GO:0032733,positive regulation of interleukin-10 production,Immune Response
BP,GO:0045577,regulation of B cell differentiation,Immune Response
BP,GO:0050864,regulation of B cell activation,Immune Response
BP,GO:0002053,positive regulation of mesenchymal cell proliferation,none
BP,GO:0002674,negative regulation of acute inflammatory response,none
MF,GO:0004857,enzyme inhibitor activity,none
BP,GO:0010664,negative regulation of striated muscle cell apoptotic process,none
BP,GO:0010665,regulation of cardiac muscle cell apoptotic process,none
MF,GO:0016769,"transferase activity, transferring nitrogenous groups",none
CC,GO:0031225,anchored component of membrane,none
BP,GO:0035148,tube formation,none
BP,GO:0045071,negative regulation of viral genome replication,none
BP,GO:0046330,positive regulation of JNK cascade,none
BP,GO:0062014,negative regulation of small molecule metabolic process,none
BP,GO:0072132,mesenchyme morphogenesis,none
BP,GO:0086011,membrane repolarization during action potential,none
BP,GO:1902065,response to L-glutamate,none
BP,GO:1903321,negative regulation of protein modification by small protein conjugation or removal,none
BP,GO:1905508,protein localization to microtubule organizing center,none
BP,GO:0042743,hydrogen peroxide metabolic process,Oxidative Stress
BP,GO:0030199,collagen fibril organization,Structural Stabilization
MF,GO:0086080,protein binding involved in heterotypic cell-cell adhesion,Structural Stabilization
BP,GO:0090331,negative regulation of platelet aggregation,Structural Stabilization
BP,GO:2001236,regulation of extrinsic apoptotic signaling pathway,Apoptosis
BP,GO:0015914,phospholipid transport,Lipid Metabolism
BP,GO:0002673,regulation of acute inflammatory response,none
BP,GO:0003401,axis elongation,none
CC,GO:0005639,integral component of nuclear inner membrane,none
BP,GO:0010656,negative regulation of muscle cell apoptotic process,none
BP,GO:0021884,forebrain neuron development,none
CC,GO:0031229,intrinsic component of nuclear inner membrane,none
CC,GO:0046658,anchored component of plasma membrane,none
BP,GO:0071800,podosome assembly,none
BP,GO:1990089,response to nerve growth factor,none
BP,GO:2001057,reactive nitrogen species metabolic process,none
BP,GO:0034620,cellular response to unfolded protein,Proteostasis
MF,GO:0022843,voltage-gated cation channel activity,Synapse
CC,GO:0043194,axon initial segment,Synapse
BP,GO:0002437,inflammatory response to antigenic stimulus,Immune Response
BP,GO:0002456,T cell mediated immunity,Immune Response
BP,GO:0030218,erythrocyte differentiation,Immune Response
BP,GO:0043303,mast cell degranulation,Immune Response
BP,GO:0060759,regulation of response to cytokine stimulus,Immune Response
MF,GO:0001968,fibronectin binding,none
CC,GO:0002080,acrosomal membrane,none
BP,GO:0006939,smooth muscle contraction,none
BP,GO:0006972,hyperosmotic response,none
BP,GO:0014821,phasic smooth muscle contraction,none
MF,GO:0016836,hydro-lyase activity,none
BP,GO:0017004,cytochrome complex assembly,none
BP,GO:0031333,negative regulation of protein-containing complex assembly,none
CC,GO:0031672,A band,none
BP,GO:0034629,cellular protein-containing complex localization,none
BP,GO:0043255,regulation of carbohydrate biosynthetic process,none
BP,GO:0045056,transcytosis,none
BP,GO:0045761,regulation of adenylate cyclase activity,none
BP,GO:0061512,protein localization to cilium,none
BP,GO:0070168,negative regulation of biomineral tissue development,none
BP,GO:0090630,activation of GTPase activity,none
MF,GO:0097157,pre-mRNA intronic binding,none
BP,GO:0110150,negative regulation of biomineralization,none
BP,GO:1904181,positive regulation of membrane depolarization,none
BP,GO:0016485,protein processing,Proteostasis
MF,GO:0015252,proton channel activity,Synapse
BP,GO:0031630,regulation of synaptic vesicle fusion to presynaptic active zone membrane,Synapse
BP,GO:0048791,calcium ion-regulated exocytosis of neurotransmitter,Synapse
BP,GO:0038084,vascular endothelial growth factor signaling pathway,Vasculature
BP,GO:0050868,negative regulation of T cell activation,Immune Response
BP,GO:0071248,cellular response to metal ion,Metal Binding and Homeostasis
BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",Mitochondrial Metabolism
BP,GO:0019646,aerobic electron transport chain,Mitochondrial Metabolism
MF,GO:0005347,ATP transmembrane transporter activity,none
BP,GO:0006970,response to osmotic stress,none
BP,GO:0007340,acrosome reaction,none
BP,GO:0008593,regulation of Notch signaling pathway,none
CC,GO:0017053,transcription repressor complex,none
MF,GO:0030507,spectrin binding,none
BP,GO:0036344,platelet morphogenesis,none
BP,GO:0045747,positive regulation of Notch signaling pathway,none
BP,GO:0048854,brain morphogenesis,none
BP,GO:0050905,neuromuscular process,none
BP,GO:0098656,anion transmembrane transport,none
BP,GO:0098900,regulation of action potential,none
CC,GO:0099146,intrinsic component of postsynaptic density membrane,Synapse
CC,GO:0044754,autolysosome,Endolysosome
BP,GO:0032479,regulation of type I interferon production,Immune Response
BP,GO:0032613,interleukin-10 production,Immune Response
BP,GO:0060216,definitive hemopoiesis,Immune Response
CC,GO:0099060,integral component of postsynaptic specialization membrane,Lipid Metabolism
BP,GO:0051882,mitochondrial depolarization,Mitochondrial Metabolism
BP,GO:0048713,regulation of oligodendrocyte differentiation,Myelination
BP,GO:0007339,binding of sperm to zona pellucida,none
MF,GO:0015085,calcium ion transmembrane transporter activity,none
MF,GO:0016791,phosphatase activity,none
MF,GO:0016868,"intramolecular transferase activity, phosphotransferases",none
MF,GO:0030295,protein kinase activator activity,none
BP,GO:0032958,inositol phosphate biosynthetic process,none
BP,GO:0035305,negative regulation of dephosphorylation,none
BP,GO:0035821,modulation of process of other organism,none
BP,GO:0043407,negative regulation of MAP kinase activity,none
BP,GO:0045669,positive regulation of osteoblast differentiation,none
BP,GO:0045687,positive regulation of glial cell differentiation,none
MF,GO:0070679,"inositol 1,4,5 trisphosphate binding",none
BP,GO:0071560,cellular response to transforming growth factor beta stimulus,none
BP,GO:0090276,regulation of peptide hormone secretion,none
BP,GO:0098801,regulation of renal system process,none
BP,GO:1903651,positive regulation of cytoplasmic transport,none
BP,GO:2000117,negative regulation of cysteine-type endopeptidase activity,none
CC,GO:0099060,integral component of postsynaptic specialization membrane,Synapse
BP,GO:0031065,positive regulation of histone deacetylation,Epigenetic
BP,GO:0002819,regulation of adaptive immune response,Immune Response
BP,GO:0019048,modulation by virus of host process,Immune Response
BP,GO:0042130,negative regulation of T cell proliferation,Immune Response
BP,GO:0070102,interleukin-6-mediated signaling pathway,Immune Response
BP,GO:0034219,carbohydrate transmembrane transport,none
BP,GO:0061052,negative regulation of cell growth involved in cardiac muscle cell development,none
BP,GO:0061178,regulation of insulin secretion involved in cellular response to glucose stimulus,none
BP,GO:0071772,response to BMP,none
BP,GO:0071773,cellular response to BMP stimulus,none
BP,GO:1904779,regulation of protein localization to centrosome,none
CC,GO:0036019,endolysosome,Endolysosome
BP,GO:0045332,phospholipid translocation,Lipid Metabolism
MF,GO:0004029,aldehyde dehydrogenase (NAD+) activity,none
MF,GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,none
BP,GO:0007097,nuclear migration,none
BP,GO:0007223,"Wnt signaling pathway, calcium modulating pathway",none
BP,GO:0046661,male sex differentiation,none
BP,GO:0048255,mRNA stabilization,none
BP,GO:0048568,embryonic organ development,none
BP,GO:0055026,negative regulation of cardiac muscle tissue development,none
BP,GO:0061318,renal filtration cell differentiation,none
BP,GO:0070431,nucleotide-binding oligomerization domain containing 2 signaling pathway,none
BP,GO:0070509,calcium ion import,none
BP,GO:0072112,glomerular visceral epithelial cell differentiation,none
BP,GO:0090312,positive regulation of protein deacetylation,none
BP,GO:1901616,organic hydroxy compound catabolic process,none
BP,GO:1903363,negative regulation of cellular protein catabolic process,none
BP,GO:0001504,neurotransmitter uptake,Synapse
MF,GO:0071855,neuropeptide receptor binding,Synapse
CC,GO:0098993,anchored component of synaptic vesicle membrane,Synapse
CC,GO:0030131,clathrin adaptor complex,Endolysosome
BP,GO:0022011,myelination in peripheral nervous system,Myelination
BP,GO:0032292,peripheral nervous system axon ensheathment,Myelination
BP,GO:0000187,activation of MAPK activity,none
BP,GO:0002861,regulation of inflammatory response to antigenic stimulus,none
CC,GO:0005844,polysome,none
BP,GO:0006553,lysine metabolic process,none
BP,GO:0009411,response to UV,none
BP,GO:0009566,fertilization,none
BP,GO:0031128,developmental induction,none
BP,GO:0031223,auditory behavior,none
BP,GO:0032922,circadian regulation of gene expression,none
BP,GO:0038007,netrin-activated signaling pathway,none
BP,GO:0045198,establishment of epithelial cell apical/basal polarity,none
BP,GO:0045662,negative regulation of myoblast differentiation,none
BP,GO:0046037,GMP metabolic process,none
BP,GO:0060045,positive regulation of cardiac muscle cell proliferation,none
BP,GO:0061640,cytoskeleton-dependent cytokinesis,none
BP,GO:0090659,walking behavior,none
BP,GO:0051604,protein maturation,Proteostasis
BP,GO:0034111,negative regulation of homotypic cell-cell adhesion,Structural Stabilization
BP,GO:0032292,peripheral nervous system axon ensheathment,Synapse
CC,GO:0032590,dendrite membrane,Synapse
BP,GO:0060074,synapse maturation,Synapse
BP,GO:0060159,regulation of dopamine receptor signaling pathway,Synapse
BP,GO:0001977,renal system process involved in regulation of blood volume,Vasculature
BP,GO:0035767,endothelial cell chemotaxis,Vasculature
BP,GO:0002534,cytokine production involved in inflammatory response,Immune Response
BP,GO:0046633,alpha-beta T cell proliferation,Immune Response
BP,GO:0048538,thymus development,Immune Response
BP,GO:0034381,plasma lipoprotein particle clearance,Lipid Metabolism
BP,GO:0009620,response to fungus,none
BP,GO:0010324,membrane invagination,none
BP,GO:0034063,stress granule assembly,none
BP,GO:0035872,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",none
BP,GO:0042303,molting cycle,none
BP,GO:0042633,hair cycle,none
MF,GO:0043325,"phosphatidylinositol-3,4-bisphosphate binding",none
BP,GO:0046165,alcohol biosynthetic process,none
BP,GO:0050873,brown fat cell differentiation,none
BP,GO:0051767,nitric-oxide synthase biosynthetic process,none
BP,GO:0051769,regulation of nitric-oxide synthase biosynthetic process,none
BP,GO:0055007,cardiac muscle cell differentiation,none
BP,GO:0071625,vocalization behavior,none
CC,GO:0099023,vesicle tethering complex,none
BP,GO:1901617,organic hydroxy compound biosynthetic process,none
BP,GO:1903825,organic acid transmembrane transport,none
BP,GO:2000114,regulation of establishment of cell polarity,none
BP,GO:0048668,collateral sprouting,Synapse
BP,GO:1902950,regulation of dendritic spine maintenance,Synapse
BP,GO:1905037,autophagosome organization,Autophagy
BP,GO:0030217,T cell differentiation,Immune Response
BP,GO:0032611,interleukin-1 beta production,Immune Response
BP,GO:0032799,low-density lipoprotein receptor particle metabolic process,Lipid Metabolism
BP,GO:0071404,cellular response to low-density lipoprotein particle stimulus,Lipid Metabolism
CC,GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",Mitochondrial Metabolism
BP,GO:0003171,atrioventricular valve development,none
BP,GO:0010614,negative regulation of cardiac muscle hypertrophy,none
MF,GO:0005496,steroid binding,none
CC,GO:0005871,kinesin complex,none
BP,GO:0008645,hexose transmembrane transport,none
BP,GO:0014072,response to isoquinoline alkaloid,none
MF,GO:0017112,Rab guanyl-nucleotide exchange factor activity,none
CC,GO:0030117,membrane coat,none
BP,GO:0043278,response to morphine,none
BP,GO:0045446,endothelial cell differentiation,none
BP,GO:0045453,bone resorption,none
BP,GO:0045604,regulation of epidermal cell differentiation,none
CC,GO:0048475,coated membrane,none
BP,GO:0051817,modulation of process of other organism involved in symbiotic interaction,none
BP,GO:0061951,establishment of protein localization to plasma membrane,none
BP,GO:0072537,fibroblast activation,none
BP,GO:0150146,cell junction disassembly,none
BP,GO:1901381,positive regulation of potassium ion transmembrane transport,none
BP,GO:1903364,positive regulation of cellular protein catabolic process,none
BP,GO:1905039,carboxylic acid transmembrane transport,none
BP,GO:2001252,positive regulation of chromosome organization,none
BP,GO:0048026,"positive regulation of mRNA splicing, via spliceosome",RNA Spliceosome
MF,GO:0098641,cadherin binding involved in cell-cell adhesion,Structural Stabilization
BP,GO:0061003,positive regulation of dendritic spine morphogenesis,Synapse
BP,GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,Apoptosis
BP,GO:0002228,natural killer cell mediated immunity,Immune Response
BP,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,Immune Response
BP,GO:0032703,negative regulation of interleukin-2 production,Immune Response
BP,GO:0046890,regulation of lipid biosynthetic process,Lipid Metabolism
CC,GO:0000159,protein phosphatase type 2A complex,none
BP,GO:0035107,appendage morphogenesis,none
BP,GO:0035108,limb morphogenesis,none
BP,GO:0044088,regulation of vacuole organization,none
BP,GO:0060033,anatomical structure regression,none
BP,GO:2000177,regulation of neural precursor cell proliferation,none
BP,GO:1902176,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,Oxidative Stress
BP,GO:0007214,gamma-aminobutyric acid signaling pathway,Synapse
BP,GO:0099566,regulation of postsynaptic cytosolic calcium ion concentration,Synapse
BP,GO:0060100,"positive regulation of phagocytosis, engulfment",Autophagy
BP,GO:0001909,leukocyte mediated cytotoxicity,Immune Response
BP,GO:0002730,regulation of dendritic cell cytokine production,Immune Response
MF,GO:0023023,MHC protein complex binding,Immune Response
BP,GO:0003283,atrial septum development,none
BP,GO:0006606,protein import into nucleus,none
BP,GO:0006949,syncytium formation,none
BP,GO:0009225,nucleotide-sugar metabolic process,none
BP,GO:0010248,establishment or maintenance of transmembrane electrochemical gradient,none
BP,GO:0010744,positive regulation of macrophage derived foam cell differentiation,none
BP,GO:0016114,terpenoid biosynthetic process,none
BP,GO:0018022,peptidyl-lysine methylation,none
BP,GO:0018126,protein hydroxylation,none
MF,GO:0022884,macromolecule transmembrane transporter activity,none
CC,GO:0031430,M band,none
MF,GO:0034236,protein kinase A catalytic subunit binding,none
BP,GO:0043473,pigmentation,none
BP,GO:0046850,regulation of bone remodeling,none
BP,GO:0051145,smooth muscle cell differentiation,none
MF,GO:0052866,phosphatidylinositol phosphate phosphatase activity,none
BP,GO:1903729,regulation of plasma membrane organization,none
BP,GO:1905155,positive regulation of membrane invagination,none
BP,GO:0002730,regulation of dendritic cell cytokine production,Synapse
BP,GO:0099068,postsynapse assembly,Synapse
BP,GO:0060055,angiogenesis involved in wound healing,Vasculature
BP,GO:2001241,positive regulation of extrinsic apoptotic signaling pathway in absence of ligand,Apoptosis
BP,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,Cell Cycle
BP,GO:0002709,regulation of T cell mediated immunity,Immune Response
BP,GO:0061515,myeloid cell development,Immune Response
BP,GO:0006469,negative regulation of protein kinase activity,none
BP,GO:0007204,positive regulation of cytosolic calcium ion concentration,none
BP,GO:0009988,cell-cell recognition,none
BP,GO:0010661,positive regulation of muscle cell apoptotic process,none
MF,GO:0010857,calcium-dependent protein kinase activity,none
BP,GO:0015749,monosaccharide transmembrane transport,none
BP,GO:0021801,cerebral cortex radial glia guided migration,none
BP,GO:0022030,telencephalon glial cell migration,none
BP,GO:0031670,cellular response to nutrient,none
BP,GO:0031987,locomotion involved in locomotory behavior,none
BP,GO:0032526,response to retinoic acid,none
BP,GO:0046931,pore complex assembly,none
BP,GO:0051170,import into nucleus,none
BP,GO:0060993,kidney morphogenesis,none
BP,GO:0061384,heart trabecula morphogenesis,none
CC,GO:0012507,ER to Golgi transport vesicle membrane,Proteostasis
BP,GO:0072578,neurotransmitter-gated ion channel clustering,Synapse
BP,GO:0099084,postsynaptic specialization organization,Synapse
BP,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,Immune Response
BP,GO:0030220,platelet formation,Immune Response
BP,GO:0032640,tumor necrosis factor production,Immune Response
BP,GO:0033008,positive regulation of mast cell activation involved in immune response,Immune Response
BP,GO:0071706,tumor necrosis factor superfamily cytokine production,Immune Response
BP,GO:1902224,ketone body metabolic process,Lipid Metabolism
CC,GO:0031307,integral component of mitochondrial outer membrane,Mitochondrial Metabolism
BP,GO:0010719,negative regulation of epithelial to mesenchymal transition,none
BP,GO:0015801,aromatic amino acid transport,none
BP,GO:0016137,glycoside metabolic process,none
BP,GO:0030858,positive regulation of epithelial cell differentiation,none
BP,GO:0043306,positive regulation of mast cell degranulation,none
BP,GO:0043506,regulation of JUN kinase activity,none
BP,GO:0045730,respiratory burst,none
BP,GO:0051262,protein tetramerization,none
BP,GO:0051340,regulation of ligase activity,none
BP,GO:0060008,Sertoli cell differentiation,none
BP,GO:0071379,cellular response to prostaglandin stimulus,none
BP,GO:0097553,calcium ion transmembrane import into cytosol,none
BP,GO:0042273,ribosomal large subunit biogenesis,Proteostasis
BP,GO:0033627,cell adhesion mediated by integrin,Structural Stabilization
BP,GO:0060292,long-term synaptic depression,Synapse
BP,GO:0099509,regulation of presynaptic cytosolic calcium ion concentration,Synapse
BP,GO:1902473,regulation of protein localization to synapse,Synapse
MF,GO:0010485,H4 histone acetyltransferase activity,Epigenetic
BP,GO:0060337,type I interferon signaling pathway,Immune Response
BP,GO:0071357,cellular response to type I interferon,Immune Response
BP,GO:0006636,unsaturated fatty acid biosynthetic process,Lipid Metabolism
BP,GO:0036152,phosphatidylethanolamine acyl-chain remodeling,Lipid Metabolism
BP,GO:0045922,negative regulation of fatty acid metabolic process,Lipid Metabolism
BP,GO:0090153,regulation of sphingolipid biosynthetic process,Lipid Metabolism
BP,GO:1905038,regulation of membrane lipid metabolic process,Lipid Metabolism
MF,GO:0005452,inorganic anion exchanger activity,none
MF,GO:0019838,growth factor binding,none
MF,GO:0033293,monocarboxylic acid binding,none
BP,GO:0051608,histamine transport,none
BP,GO:0071709,membrane assembly,none
MF,GO:0072542,protein phosphatase activator activity,none
BP,GO:1902914,regulation of protein polyubiquitination,none
CC,GO:0098827,endoplasmic reticulum subcompartment,Proteostasis
BP,GO:0035235,ionotropic glutamate receptor signaling pathway,Synapse
BP,GO:2001028,positive regulation of endothelial cell chemotaxis,Vasculature
BP,GO:1902686,mitochondrial outer membrane permeabilization involved in programmed cell death,Apoptosis
BP,GO:0090383,phagosome acidification,Autophagy
BP,GO:0007095,mitotic G2 DNA damage checkpoint,Cell Cycle
CC,GO:0033176,proton-transporting V-type ATPase complex,Endolysosome
BP,GO:1905517,macrophage migration,Immune Response
BP,GO:0050810,regulation of steroid biosynthetic process,Lipid Metabolism
BP,GO:0046916,cellular transition metal ion homeostasis,Metal Binding and Homeostasis
BP,GO:1902686,mitochondrial outer membrane permeabilization involved in programmed cell death,Mitochondrial Metabolism
BP,GO:0003149,membranous septum morphogenesis,none
BP,GO:0003159,morphogenesis of an endothelium,none
BP,GO:0050879,multicellular organismal movement,none
BP,GO:0050881,musculoskeletal movement,none
BP,GO:0061154,endothelial tube morphogenesis,none
BP,GO:0072673,lamellipodium morphogenesis,none
BP,GO:0120033,negative regulation of plasma membrane bounded cell projection assembly,none
CC,GO:0008076,voltage-gated potassium channel complex,Synapse
BP,GO:0061298,retina vasculature development in camera-type eye,Vasculature
BP,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,Apoptosis
MF,GO:0031492,nucleosomal DNA binding,Epigenetic
BP,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,Immune Response
BP,GO:0002363,alpha-beta T cell lineage commitment,Immune Response
CC,GO:0000786,nucleosome,none
BP,GO:0003180,aortic valve morphogenesis,none
BP,GO:0010919,regulation of inositol phosphate biosynthetic process,none
BP,GO:0021670,lateral ventricle development,none
MF,GO:0042887,amide transmembrane transporter activity,none
BP,GO:0055078,sodium ion homeostasis,none
BP,GO:0061326,renal tubule development,none
BP,GO:0098661,inorganic anion transmembrane transport,none
